user_reputation,taker_mpxr_delta,range_weight,intermediate_quality,post_quality
120,2.8296917631348926,15,3.254145527605126,0.42445376447023353
204,-8.09095479672715,20,-9.70914575607258,-1.61819095934543
254,1.5641601130296507,20,1.8769921356355808,0.31283202260593
294,-0.8847226272237769,20,-1.0616671526685322,-0.17694452544475525
369,2.844047488186721,30,3.6972617346427374,0.8532142464560164
253,7.277658223805346,20,8.733189868566415,1.4555316447610682
282,-7.109787150172419,20,-8.531744580206903,-1.4219574300344835
169,-3.566413423966619,15,-4.101375437561612,-0.5349620135949928
158,1.8423776210126093,15,2.1187342641645004,0.2763566431518911
119,2.2729096224699035,10,2.500200584716894,0.22729096224699052
130,0.26671723819447024,15,0.30672482392364075,0.040007585729170514
369,-8.79175491113499,30,-11.429281384475487,-2.637526473340497
36,-4.2017997162609095,7,-4.495925696399174,-0.2941259801382641
242,5.774182899676617,20,6.929019479611941,1.1548365799353233
261,-6.225310324513497,20,-7.470372389416196,-1.245062064902699
174,-3.940957871868007,15,-4.532101552648208,-0.5911436807802009
193,-8.972349573795789,15,-10.318202009865157,-1.345852436069368
299,6.47503308066047,20,7.770039696792564,1.2950066161320937
364,6.3671146436989225,30,8.2772490368086,1.9101343931096775
346,-8.686571684488564,30,-11.292543189835134,-2.60597150534657
20,4.665559242900212,7,4.992148389903227,0.32658914700301533
125,5.706721208966723,15,6.5627293903117305,0.8560081813450076
69,0.4861360082559063,9,0.5298882489989379,0.043752240743031634
71,-4.786566782803363,9,-5.217357793255666,-0.43079101045230317
123,4.055203891981982,15,4.6634844757792795,0.6082805837972973
25,0.5755932696022175,7,0.6158847984743727,0.04029152887215526
237,-9.037208052219622,20,-10.844649662663546,-1.8074416104439237
391,1.2522046266282256,30,1.6278660146166934,0.3756613879884678
172,-1.8098191063574287,15,-2.081291972311043,-0.2714728659536143
78,3.3572742831671363,10,3.6930017114838503,0.335727428316714
30,-1.159126804909441,7,-1.2402656812531019,-0.0811388763436609
9,-5.4637043888818,4,-5.682252564437072,-0.21854817555527184
146,-1.6178681528147028,15,-1.8605483757369081,-0.24268022292220537
52,-5.463002292193851,9,-5.9546724984912975,-0.49167020629744673
243,-5.9339022803803925,20,-7.12068273645647,-1.186780456076078
5,-2.959897129558035,4,-3.078293014740357,-0.11839588518232169
352,8.09889981333913,30,10.52856975734087,2.4296699440017395
125,-6.511529681955805,15,-7.4882591342491756,-0.9767294522933705
209,3.3327552237357843,20,3.999306268482941,0.6665510447471568
173,-2.8495553085143115,15,-3.276988604791458,-0.42743329627714655
31,-3.8307267286971847,7,-4.098877599705988,-0.2681508710088032
84,-7.153803005649304,10,-7.869183306214235,-0.7153803005649308
314,-4.4833211055159,30,-5.8283174371706705,-1.3449963316547704
124,-2.139709701763673,15,-2.4606661570282236,-0.32095645526455074
380,-0.07647614803688896,30,-0.09941899244795564,-0.022942844411066685
119,-7.562521965280872,10,-8.31877416180896,-0.756252196528088
190,-6.769517481588736,15,-7.784945103827045,-1.0154276222383096
272,-8.223053990911016,20,-9.867664789093219,-1.6446107981822031
132,-7.505842555545663,15,-8.631718938877512,-1.1258763833318488
214,4.453467790422167,20,5.3441613485066,0.8906935580844335
109,6.233522862594846,10,6.856875148854331,0.6233522862594851
286,6.684689399982272,20,8.021627279978725,1.3369378799964533
336,0.0019192393071314484,30,0.002495011099270883,0.0005757717921394344
81,-3.3041531094798486,10,-3.6345684204278337,-0.33041531094798504
155,-4.708367446783601,15,-5.414622563801141,-0.7062551170175402
36,-1.5121033594316131,7,-1.6179505945918262,-0.1058472351602131
310,9.006626139399991,30,11.708613981219989,2.7019878418199976
212,-4.388813993363478,20,-5.266576792036174,-0.8777627986726957
314,-3.7048453752813266,30,-4.816298987865725,-1.1114536125843983
193,7.685718789830144,15,8.838576608304665,1.152857818474521
75,-9.704478510470869,10,-10.674926361517956,-0.9704478510470871
361,3.7342319007089397,30,4.854501470921622,1.120269570212682
157,4.49908603535172,15,5.173948940654477,0.6748629053027573
300,-5.759591297579352,30,-7.487468686853157,-1.7278773892738055
67,-8.330893763397631,9,-9.080674202103419,-0.7497804387057876
368,0.01830076389099311,30,0.023790993058291045,0.005490229167297935
285,-7.54568315146731,20,-9.054819781760772,-1.5091366302934617
335,7.361644642945578,30,9.57013803582925,2.208493392883673
169,9.142191145166404,15,10.513519816941363,1.3713286717749593
355,-0.4978622819656291,30,-0.6472209665553178,-0.1493586845896887
316,-8.230093155055314,30,-10.69912110157191,-2.4690279465165954
218,-9.947921098054199,20,-11.937505317665037,-1.9895842196108386
46,1.1799046091964112,7,1.26249793184016,0.08259332264374875
267,0.909633997815881,20,1.091560797379057,0.18192679956317614
242,-8.305295364141319,20,-9.966354436969583,-1.6610590728282641
49,0.912551702632241,7,0.9764303218164979,0.06387861918425697
143,-9.228694663241349,15,-10.61299886272755,-1.384304199486202
207,-7.21875049315563,20,-8.662500591786756,-1.443750098631126
275,-3.6938299126040324,20,-4.432595895124838,-0.7387659825208059
367,0.5025386964785241,30,0.6533003054220814,0.15076160894355728
258,-6.147983307666358,20,-7.37757996919963,-1.2295966615332716
238,4.847845519861103,20,5.817414623833323,0.9695691039722201
95,-4.093853510914354,10,-4.503238862005789,-0.40938535109143537
2,3.826751520159039,4,3.979821580965401,0.15307006080636176
231,5.723175660475464,20,6.867810792570556,1.1446351320950923
248,-7.8990726037316055,20,-9.478887124477927,-1.5798145207463214
211,2.244183743486234,20,2.693020492183481,0.4488367486972469
138,4.125884007528732,15,4.744766608658042,0.6188826011293092
355,-9.801994697675394,30,-12.742593106978012,-2.940598409302618
232,6.637815607868834,20,7.965378729442601,1.3275631215737667
270,-7.362393089398687,20,-8.834871707278424,-1.4724786178797373
225,6.218730385453167,20,7.4624764625438,1.2437460770906332
359,3.6650870664660733,30,4.764613186405896,1.0995261199398225
201,-5.944088053189375,20,-7.13290566382725,-1.1888176106378747
60,0.5134899165337465,9,0.5597040090217837,0.046214092488037206
156,-6.854270913720728,15,-7.882411550778837,-1.028140637058109
127,-6.554728284568563,15,-7.537937527253847,-0.9832092426852839
113,3.748040248642461,10,4.122844273506708,0.3748040248642468
227,2.921621902972902,20,3.505946283567482,0.5843243805945804
142,-0.6276263528873116,15,-0.7217703058204082,-0.09414395293309663
216,2.801764755072348,20,3.3621177060868175,0.5603529510144694
119,-0.9250501390096808,10,-1.017555152910649,-0.09250501390096821
150,-4.556081087666222,15,-5.239493250816155,-0.6834121631499332
20,-6.1339118056318505,7,-6.56328563202608,-0.4293738263942295
336,-8.7569647073326,30,-11.38405411953238,-2.62708941219978
206,-6.363736788828347,20,-7.636484146594016,-1.2727473577656694
182,9.79388517934008,15,11.262967956241091,1.4690827769010113
294,-0.265355624746217,20,-0.31842674969546036,-0.053071124949243376
229,-1.811716372615157,20,-2.1740596471381886,-0.3623432745230315
156,3.486840809689628,15,4.009866931143072,0.5230261214534435
377,-9.277014661551448,30,-12.060119060016882,-2.7831043984654347
87,5.244958236640215,10,5.769454060304238,0.5244958236640223
217,6.868600196180456,20,8.242320235416546,1.3737200392360904
315,-5.84248239995397,30,-7.595227119940161,-1.7527447199861914
85,-6.537371068138076,10,-7.191108174951884,-0.653737106813808
26,-9.89871820980076,7,-10.591628484486815,-0.6929102746860547
122,-4.661375116706821,15,-5.360581384212844,-0.6992062675060229
342,-0.6650980917759206,30,-0.8646275193086969,-0.19952942753277625
233,-3.3651259793312622,20,-4.038151175197514,-0.6730251958662521
381,-2.7074900037190837,30,-3.5197370048348087,-0.812247001115725
46,-0.34870448988643155,7,-0.3731138041784818,-0.024409314292050233
108,-4.562141682235192,10,-5.018355850458712,-0.4562141682235197
320,-3.5976552804683726,30,-4.676951864608885,-1.0792965841405122
353,-2.5593178279695605,30,-3.3271131763604287,-0.7677953483908682
235,-3.9629919730814978,20,-4.755590367697797,-0.7925983946162996
38,-6.075992920617526,7,-6.501312425060752,-0.42531950444322675
221,4.775141426658058,20,5.730169711989669,0.9550282853316112
78,5.242241342926546,10,5.766465477219201,0.5242241342926555
288,-1.7955692287536618,20,-2.154683074504394,-0.35911384575073235
275,4.85455478619869,20,5.8254657434384285,0.9709109572397381
108,-9.286606914503038,10,-10.215267605953342,-0.9286606914503039
304,3.1036827149420514,30,4.034787529424667,0.931104814482616
313,4.263719857315936,30,5.542835814510717,1.2791159571947812
379,-3.6521063791725172,30,-4.747738292924272,-1.0956319137517552
353,-9.953441452301643,30,-12.939473887992136,-2.9860324356904933
304,2.6988266433345736,30,3.5084746363349457,0.8096479930003722
324,-8.383808182078003,30,-10.898950636701404,-2.515142454623401
2,-2.3134219976883585,4,-2.405958877595893,-0.09253687990753434
319,-6.272498189593914,30,-8.154247646472088,-1.8817494568781745
221,9.950394252515437,20,11.940473103018524,1.990078850503087
133,-4.137161507195852,15,-4.75773573327523,-0.6205742260793778
123,-0.29962031224383523,15,-0.34456335908041047,-0.04494304683657524
312,0.8714582107569342,30,1.1328956739840146,0.2614374632270804
122,-4.06037650717974,15,-4.6694329832567005,-0.6090564760769608
369,-7.129357613612002,30,-9.268164897695602,-2.1388072840836
193,-0.7104276897945816,15,-0.8169918432637687,-0.10656415346918713
27,0.46341644882567934,7,0.4958556002434769,0.032439151417797574
113,-7.211987756230787,10,-7.933186531853867,-0.7211987756230798
188,4.073754236332341,15,4.684817371782192,0.611063135449851
39,-6.611354628462096,7,-7.074149452454443,-0.46279482399234695
226,-1.3391812047534373,20,-1.6070174457041246,-0.26783624095068737
95,3.1709727242757957,10,3.4880699967033757,0.31709727242758
274,6.147776944525049,20,7.377332333430058,1.229555388905009
305,-4.967863194218545,30,-6.458222152484108,-1.4903589582655634
175,-6.735967202385906,15,-7.7463622827437915,-1.0103950803578856
52,-8.894121177548024,9,-9.694592083527347,-0.8004709059793225
341,8.532255792458464,30,11.091932530196004,2.55967673773754
293,-5.8623182048538025,20,-7.034781845824563,-1.1724636409707605
56,5.391353247099799,9,5.876575039338781,0.4852217922389821
37,9.289932749229592,7,9.940228041675665,0.6502952924460725
212,-9.339888969080226,20,-11.207866762896272,-1.8679777938160456
4,-2.802967600071284,4,-2.9150863040741353,-0.11211870400285129
212,7.8525574897943144,20,9.423068987753178,1.5705114979588632
392,-3.0743093447200787,30,-3.9966021481361023,-0.9222928034160236
209,-6.504464304570763,20,-7.805357165484915,-1.3008928609141526
296,-2.190372941682557,20,-2.628447530019068,-0.43807458833651136
169,-8.479401876357258,15,-9.751312157810846,-1.2719102814535876
333,2.606664640529715,30,3.3886640326886295,0.7819993921589146
54,-6.988440931584757,9,-7.6174006154273854,-0.6289596838426288
265,-9.523490280426692,20,-11.428188336512031,-1.9046980560853388
147,-0.5181876693325904,15,-0.595915819732479,-0.07772815039988856
199,4.110822591779177,15,4.727445980546054,0.6166233887668762
150,-8.192376867396352,15,-9.421233397505803,-1.2288565301094518
295,7.451584491644844,20,8.941901389973813,1.4903168983289685
135,-1.1679936322375575,15,-1.343192677073191,-0.17519904483563353
363,-0.4113842296657033,30,-0.5347994985654143,-0.123415268899711
130,7.895493317368135,15,9.079817314973354,1.184323997605219
28,-1.2690242487411112,7,-1.357855946152989,-0.08883169741187791
147,-6.222032852213015,15,-7.155337780044967,-0.9333049278319514
310,1.3573108084074992,30,1.764504050929749,0.40719324252224975
156,6.1763755887300995,15,7.102831927039614,0.9264563383095146
277,-1.3302617515073365,20,-1.5963141018088038,-0.26605235030146734
63,-5.713892018946975,9,-6.228142300652204,-0.5142502817052286
182,7.191018919519134,15,8.269671757447004,1.0786528379278693
19,-2.1587916689407542,5,-2.266731252387792,-0.1079395834470378
62,7.339193108959364,9,7.999720488765708,0.6605273798063438
65,-0.5032187945889888,9,-0.5485084861019978,-0.04528969151300899
31,1.0024774898837236,7,1.0726509141755844,0.0701734242918608
160,1.0498645011733565,15,1.20734417634936,0.15747967517600348
257,0.7092703067567179,20,0.8511243681080615,0.1418540613513436
94,-1.0981173823892405,10,-1.2079291206281646,-0.1098117382389241
183,-8.283017871250113,15,-9.525470551937628,-1.2424526806875154
382,3.216355441103115,30,4.181262073434049,0.9649066323309343
356,-5.702271156372416,30,-7.412952503284141,-1.7106813469117252
48,-8.785681672315434,7,-9.400679389377515,-0.6149977170620815
264,4.223937684946652,20,5.068725221935982,0.8447875369893305
198,7.977742620545808,15,9.174404013627678,1.19666139308187
115,-9.504535118487073,10,-10.454988630335782,-0.9504535118487087
182,4.943322801179823,15,5.684821221356796,0.7414984201769732
355,2.6013820220904975,30,3.381796628717647,0.7804146066271493
290,-5.646841121970461,20,-6.776209346364553,-1.1293682243940921
93,-6.778288768651377,10,-7.456117645516516,-0.6778288768651386
326,-0.0060721712768305736,30,-0.007893822659879746,-0.0018216513830491728
135,5.9835550645496856,15,6.881088324232138,0.8975332596824526
303,6.982871795243707,30,9.07773333381682,2.094861538573113
286,0.6147407749872578,20,0.7376889299847093,0.12294815499745149
317,-8.505257046243015,30,-11.05683416011592,-2.5515771138729058
147,-6.367280785766118,15,-7.322372903631035,-0.9550921178649174
161,4.187705703013073,15,4.815861558465033,0.6281558554519604
125,0.25342285508252793,15,0.2914362833449071,0.03801342826237919
399,-8.799174148673682,30,-11.438926393275787,-2.6397522446021053
379,-5.175330045897127,30,-6.727929059666265,-1.5525990137691386
115,7.858705701120229,10,8.644576271232253,0.7858705701120243
188,1.76299799971045,15,2.027447699667017,0.2644496999565673
114,-0.5356722254571054,10,-0.5892394480028159,-0.05356722254571056
180,5.429297769704826,15,6.24369243516055,0.8143946654557235
153,9.270926181888317,15,10.661565109171564,1.3906389272832467
357,4.9791858392426,30,6.47294159101538,1.4937557517727802
5,8.713756641536683,4,9.06230690719815,0.3485502656614674
24,-6.912793287961865,7,-7.396688818119196,-0.4838955301573309
223,2.4073617154786646,20,2.8888340585743975,0.48147234309573284
125,4.919249861542674,15,5.657137340774075,0.737887479231401
114,4.704211327910928,10,5.17463246070202,0.47042113279109277
124,-0.37709353247031174,15,-0.43365756234085845,-0.056564029870546706
66,2.714214381891484,9,2.9584936762617176,0.24427929437023366
276,2.2348234146295116,20,2.681788097555414,0.4469646829259024
13,-6.391204188435884,5,-6.7107643978576785,-0.31956020942179464
217,8.811980635678697,20,10.574376762814437,1.7623961271357391
396,-1.5854241837182492,30,-2.061051438833724,-0.47562725511547477
70,1.9306161322659054,9,2.104371584169837,0.1737554519039315
82,-8.829372327748233,10,-9.712309560523057,-0.8829372327748235
109,-9.276567067680148,10,-10.204223774448163,-0.9276567067680155
207,-9.30133213841318,20,-11.161598566095815,-1.8602664276826353
114,3.854303508269272,10,4.2397338590962,0.3854303508269279
260,-1.034318822950608,20,-1.2411825875407294,-0.20686376459012146
108,-8.609324149810043,10,-9.470256564791047,-0.8609324149810043
75,5.770733470687732,10,6.347806817756506,0.5770733470687741
105,-4.469440168283967,10,-4.9163841851123635,-0.4469440168283967
389,-8.65394989094278,30,-11.250134858225614,-2.5961849672828343
309,7.917112457479881,30,10.292246194723846,2.3751337372439654
335,3.556128941358896,30,4.622967623766565,1.0668386824076688
186,-0.3519429505406464,15,-0.4047343931217433,-0.052791442581096915
364,-5.966134687094535,30,-7.755975093222896,-1.789840406128361
131,7.858793667169191,15,9.037612717244569,1.1788190500753775
53,-9.00642040577565,9,-9.816998242295458,-0.8105778365198084
46,0.6926402592320464,7,0.7411250773782897,0.04848481814624328
4,-8.200496593242203,4,-8.528516456971891,-0.32801986372968805
13,1.721468663304913,5,1.8075420964701587,0.08607343316524574
211,-6.531899273291573,20,-7.838279127949887,-1.3063798546583145
350,5.461760489693816,30,7.100288636601961,1.6385281469081452
16,-6.189160072430402,5,-6.4986180760519225,-0.3094580036215202
259,6.7297022448659085,20,8.07564269383909,1.345940448973181
2,0.46058799641208026,4,0.4790115162685635,0.018423519856483217
17,7.464416491560954,5,7.837637316139002,0.3732208245780484
160,9.576105421508892,15,11.012521234735225,1.4364158132263327
267,4.290076306938895,20,5.148091568326674,0.858015261387779
27,2.151275844478322,7,2.301865153591805,0.1505893091134829
357,7.639145361654052,30,9.930888970150267,2.2917436084962155
41,-7.948369082146516,7,-8.504754917896772,-0.5563858357502562
213,6.632559559061633,20,7.959071470873959,1.326511911812326
274,-1.867815019922297,20,-2.2413780239067562,-0.3735630039844593
294,-9.559657740215862,20,-11.471589288259034,-1.9119315480431727
393,-8.734688182230938,30,-11.35509463690022,-2.6204064546692827
104,-1.1991902678166984,10,-1.3191092945983682,-0.11991902678166988
27,-3.4568700974343987,7,-3.6988510042548066,-0.24198090682040796
392,5.4754326562316145,30,7.118062453101099,1.6426297968694845
139,3.0604307916873115,15,3.519495410440408,0.45906461875309645
193,-5.738787980219861,15,-6.59960617725284,-0.8608181970329785
222,-3.823967990345814,20,-4.588761588414976,-0.7647935980691623
377,0.8731201309365577,30,1.135056170217525,0.2619360392809673
333,-3.493376966325819,30,-4.541390056223565,-1.0480130898977462
219,5.39989693333392,20,6.479876320000704,1.0799793866667837
122,-3.739737566249792,15,-4.30069820118726,-0.5609606349374685
382,-4.746957737006861,30,-6.17104505810892,-1.4240873211020588
131,-2.2628969088154953,15,-2.6023314451378194,-0.3394345363223241
335,9.558472838540546,30,12.42601469010271,2.867541851562164
240,6.940631552118127,20,8.328757862541751,1.3881263104236243
247,-6.578953577826409,20,-7.894744293391691,-1.3157907155652815
398,1.9807263229652925,30,2.5749442198548804,0.5942178968895879
238,-0.49410644876464893,20,-0.5929277385175787,-0.09882128975292981
280,6.543912778718301,20,7.852695334461961,1.3087825557436599
41,6.532478611693641,7,6.989752114512196,0.4572735028185555
379,6.501137910283603,30,8.451479283368684,1.950341373085081
209,-8.064772323338046,20,-9.677726788005655,-1.6129544646676095
229,3.969714154121206,20,4.763656984945447,0.7939428308242409
66,0.654559066842932,9,0.7134693828587959,0.05891031601586394
205,8.764106665420755,20,10.516927998504906,1.7528213330841513
129,0.4205670964525492,15,0.48365216092043156,0.06308506446788237
329,8.937078418386005,30,11.618201943901806,2.681123525515801
342,-0.03682059854425823,30,-0.0478667781075357,-0.01104617956327747
27,9.652329978127824,7,10.327993076596773,0.6756630984689487
20,-5.442123815978796,7,-5.823072483097312,-0.38094866711851605
61,5.729081481187578,9,6.24469881449446,0.5156173333068823
114,0.8794601267843678,10,0.9674061394628046,0.08794601267843682
147,6.5190991944463725,15,7.496964073613328,0.9778648791669555
308,-1.0005642178829017,30,-1.3007334832477724,-0.30016926536487065
248,8.732509119736974,20,10.479010943684369,1.7465018239473942
326,-0.6558516530874865,30,-0.8526071490137325,-0.19675549592624597
288,2.39842376636118,20,2.878108519633416,0.4796847532722359
32,1.6955151703998403,7,1.8142012323278294,0.11868606192798903
113,7.849189571145278,10,8.634108528259807,0.7849189571145292
288,1.6895723643665743,20,2.027486837239889,0.3379144728733148
66,4.276868543163776,9,4.6617867120485155,0.38491816888473984
169,-7.003742906664696,15,-8.0543043426644,-1.050561435999704
388,4.974599514220374,30,6.466979368486487,1.4923798542661126
269,-4.386675409362959,20,-5.264010491235551,-0.8773350818725918
165,0.05209027734320415,15,0.059903818944684765,0.007813541601480616
144,6.703032684695231,15,7.708487587399515,1.005454902704284
130,-5.069712186443931,15,-5.8301690144105205,-0.7604568279665891
354,-0.3009057388319434,30,-0.3911774604815264,-0.09027172164958303
38,6.39886001689241,7,6.846780218074879,0.4479202011824688
140,-0.6444998485284099,15,-0.7411748258076714,-0.09667497727926144
150,-9.603132956485101,15,-11.043602899957866,-1.440469943472765
235,-8.101051431413994,20,-9.721261717696793,-1.6202102862827985
21,7.979092790999406,7,8.537629286369365,0.5585364953699585
70,-9.049116858808116,9,-9.863537376100847,-0.8144205172927315
325,8.867786398054623,30,11.52812231747101,2.6603359194163865
16,-1.2622469304522106,5,-1.3253592769748213,-0.06311234652261066
395,4.080727010171001,30,5.304945113222302,1.2242181030513004
118,-0.36278163558529286,10,-0.39905979914382217,-0.03627816355852931
329,7.135552310339641,30,9.276218003441533,2.1406656931018926
17,7.705601603271173,5,8.090881683434732,0.3852800801635592
390,4.814500703032035,30,6.258850913941646,1.4443502109096107
256,4.645516594753495,20,5.574619913704194,0.9291033189506992
178,0.09618571521152042,15,0.11061357249324848,0.01442785728172806
381,6.875607794384791,30,8.93829013270023,2.0626823383154385
217,-6.9665862012053665,20,-8.35990344144644,-1.393317240241073
106,3.3923098434803105,10,3.7315408278283417,0.33923098434803123
295,-9.505585444465856,20,-11.406702533359027,-1.9011170888931712
98,8.009353017184615,10,8.810288318903078,0.8009353017184626
210,-1.25325296447107,20,-1.503903557365284,-0.250650592894214
24,-7.797095547530823,7,-8.342892235857981,-0.5457966883271581
214,7.983753907928463,20,9.580504689514155,1.5967507815856923
239,-6.789800741222325,20,-8.14776088946679,-1.357960148244465
132,1.5996576395905286,15,1.8396062855291078,0.23994864593857912
326,-2.01011511233993,30,-2.6131496460419092,-0.6030345337019791
279,0.3432158682217423,20,0.4118590418660908,0.06864317364434847
95,-0.6313865301784976,10,-0.6945251831963474,-0.06313865301784982
78,6.091508571701574,10,6.700659428871732,0.6091508571701576
267,-1.1556214488020604,20,-1.3867457385624724,-0.231124289760412
375,-3.9898174508497526,30,-5.186762686104679,-1.1969452352549261
85,-7.929988400912126,10,-8.72298724100334,-0.7929988400912134
51,-0.27360487330399863,9,-0.29822931190135854,-0.02462443859735991
147,-3.759650369479404,15,-4.323597924901314,-0.56394755542191
290,7.3866557860543764,20,8.863986943265251,1.477331157210875
344,7.7435764895526304,30,10.06664943641842,2.323072946865789
219,-3.8485353060529937,20,-4.618242367263592,-0.7697070612105987
85,7.9420374517294405,10,8.736241196902386,0.7942037451729451
62,-1.6401282357343678,9,-1.787739776950461,-0.1476115412160932
26,-2.929053401939421,7,-3.134087140075181,-0.20503373813575987
303,-5.87825328960351,30,-7.641729276484563,-1.763475986881053
394,-1.7374004382192219,30,-2.2586205696849886,-0.5212201314657667
169,0.7478742693979932,15,0.8600554098076921,0.11218114040969895
103,5.405400066847632,10,5.9459400735323955,0.5405400066847639
5,-3.559741708828044,4,-3.702131377181166,-0.14238966835312183
239,-5.975182832738517,20,-7.1702193992862195,-1.195036566547703
205,1.8079657848411035,20,2.169558941809324,0.3615931569682207
300,-8.024390663059549,30,-10.431707861977413,-2.4073171989178643
307,-4.282116099638187,30,-5.566750929529643,-1.2846348298914565
109,0.8439525954635219,10,0.9283478550098742,0.0843952595463523
390,-7.048787324347501,30,-9.163423521651751,-2.1146361973042502
109,0.010355959426927797,10,0.011391555369620577,0.00103559594269278
260,0.7595234833269835,20,0.9114281799923801,0.15190469666539663
333,-2.217367527823737,30,-2.882577786170858,-0.6652102583471211
98,1.3805558752222922,10,1.5186114627445215,0.13805558752222935
296,0.8054295386776573,20,0.9665154464131888,0.16108590773553144
111,4.68353345970128,10,5.151886805671409,0.46835334597012857
60,-5.699046838232826,9,-6.2119610536737815,-0.5129142154409552
283,-0.2430024650316831,20,-0.2916029580380197,-0.04860049300633662
121,2.456193506348754,15,2.824622532301067,0.3684290259523131
271,-3.77455698341548,20,-4.529468380098576,-0.754911396683096
89,9.527013401724489,10,10.479714741896938,0.9527013401724496
231,1.2676228107693497,20,1.5211473729232197,0.25352456215387
354,4.373705447707913,30,5.685817082020287,1.312111634312374
207,-9.65884242722986,20,-11.590610912675832,-1.9317684854459714
366,5.31862991873675,30,6.914218894357775,1.595588975621025
139,9.904592946067787,15,11.390281887977954,1.4856889419101673
223,-7.402833497460433,20,-8.88340019695252,-1.480566699492087
40,9.185010755334947,7,9.827961508208393,0.6429507528734462
16,-0.7983991210538406,5,-0.8383190771065326,-0.03991995605269205
273,4.614881856172492,20,5.53785822740699,0.9229763712344985
153,-4.4785670058208,15,-5.15035205669392,-0.6717850508731198
361,-3.8896890513144715,30,-5.0565957667088135,-1.166906715394342
192,-2.8539340539832665,15,-3.282024162080756,-0.4280901080974897
242,-3.7922014779001216,20,-4.550641773480145,-0.7584402955800238
168,9.047102010772647,15,10.404167312388545,1.3570653016158971
218,-0.9246567808503379,20,-1.1095881370204055,-0.18493135617006762
227,-5.782436299732923,20,-6.938923559679507,-1.1564872599465845
392,-5.113297203430354,30,-6.64728636445946,-1.5339891610291065
344,-7.179822484637876,30,-9.333769230029239,-2.1539467453913623
178,3.6633676735596126,15,4.212872824593554,0.5495051510339417
204,-1.308377934840415,20,-1.5700535218084979,-0.2616755869680829
269,-9.355456648785674,20,-11.22654797854281,-1.8710913297571352
321,-2.4610217433230748,30,-3.199328266319997,-0.7383065229969223
189,-9.47508457537987,15,-10.89634726168685,-1.4212626863069797
156,-4.172269161616162,15,-4.798109535858586,-0.6258403742424239
